session,src_ip,command_count,unique_commands,command_diversity,failed_logins,success_logins,session_duration,icd_mean,icd_std,label
0d50f3ac7905,192.168.211.129,0,0,0.0,0,0,0.0,0.0,0.0,0
88ee8c64156f,192.168.211.129,0,0,0.0,0,0,0.1,0.0,0.0,0
e4f545f063b6,192.168.211.129,0,0,0.0,0,0,0.1,0.0,0.0,0
1fbc8fbc21c6,192.168.211.129,0,0,0.0,0,0,0.0,0.0,0.0,0
d34b4a8910ea,192.168.211.129,0,0,0.0,0,0,0.0,0.0,0.0,0
f15cf2a3bb3b,192.168.211.129,0,0,0.0,0,0,0.0,0.0,0.0,0
2f9c5a157b56,192.168.211.129,0,0,0.0,0,0,0.0,0.0,0.0,0
377b891136db,192.168.211.129,0,0,0.0,0,0,0.0,0.0,0.0,0
fccf22941b6b,192.168.211.129,0,0,0.0,0,0,0.0,0.0,0.0,0
178df807978a,192.168.211.129,0,0,0.0,0,0,0.0,0.0,0.0,0
86dc1e58e0a1,192.168.211.129,0,0,0.0,0,0,0.0,0.0,0.0,0
80baec01bf93,192.168.211.129,6,5,0.8333,0,1,137.8,9.0107,18.0198,1
e61126c7bb47,192.168.211.129,4,4,1.0,0,1,15.2,0.3926,0.5541,0
bea82194aa88,192.168.211.129,4,4,1.0,0,1,16.9,0.9286,1.3116,0
c59f62ff8dab,192.168.211.129,3,3,1.0,0,1,12.8,0.6686,0.6675,0
8959bba0a210,192.168.211.129,3,3,1.0,0,1,7.8,0.9607,0.9592,0
298e727f002d,192.168.211.129,4,4,1.0,0,1,3.8,0.2994,0.4223,0
b5cc0d1c0ade,192.168.211.129,4,4,1.0,0,1,3.8,0.2699,0.38,0
f8f51bd3e71d,192.168.211.129,3,3,1.0,0,1,2.5,0.3812,0.3798,0
7e0223a2c405,192.168.211.129,3,3,1.0,0,1,3.3,0.3007,0.2994,0
5cba028d0ca4,192.168.211.129,0,0,0.0,0,0,0.5,0.0,0.0,0
82ced08e0be3,192.168.211.129,0,0,0.0,1,0,2.5,0.0,0.0,0
0d12ec38cec2,192.168.211.129,0,0,0.0,0,1,1.5,0.0,0.0,0
5512703763ca,192.168.211.129,0,0,0.0,0,1,1.5,0.0,0.0,0
f517452baa36,192.168.211.129,0,0,0.0,0,1,1.5,0.0,0.0,0
04ff0a3e7a06,192.168.211.129,0,0,0.0,0,0,0.0,0.0,0.0,0
7a3e0a13451a,192.168.211.129,1,1,1.0,0,1,153.4,0.0,0.0,0
b849edfa1d20,192.168.211.129,0,0,0.0,0,0,0.4,0.0,0.0,0
eefc80a1833c,192.168.211.129,0,0,0.0,0,1,1.6,0.0,0.0,0
c6300a70f295,192.168.211.129,0,0,0.0,0,1,1.6,0.0,0.0,0
8ab4188369da,192.168.211.129,0,0,0.0,0,1,1.6,0.0,0.0,0
1ff0e30af37c,192.168.211.129,0,0,0.0,0,1,1.6,0.0,0.0,0
d0fd851cffd4,192.168.211.129,0,0,0.0,1,0,89.3,0.0,0.0,0
9ae9042dd959,192.168.211.129,0,0,0.0,1,0,86.9,0.0,0.0,0
c4b19c0ee068,192.168.211.129,0,0,0.0,1,0,84.4,0.0,0.0,0
9abefde08bfd,192.168.211.129,0,0,0.0,1,0,82.4,0.0,0.0,0
9fabfddd112e,192.168.211.129,0,0,0.0,0,1,0.2,0.0,0.0,0
2697545c30e7,192.168.211.129,0,0,0.0,1,0,77.8,0.0,0.0,0
729e36a21fa5,192.168.211.129,0,0,0.0,1,0,74.9,0.0,0.0,0
1f3e95dde6c4,192.168.211.129,0,0,0.0,1,0,72.3,0.0,0.0,0
73165fec9532,192.168.211.129,0,0,0.0,1,0,69.8,0.0,0.0,0
d185f1306c62,192.168.211.129,0,0,0.0,1,0,67.2,0.0,0.0,0
9aec2ebc046d,192.168.211.129,0,0,0.0,1,0,64.8,0.0,0.0,0
e7551242e294,192.168.211.129,0,0,0.0,1,0,63.1,0.0,0.0,0
9d41e35ebbea,192.168.211.129,0,0,0.0,1,0,61.5,0.0,0.0,0
368b1e174a55,192.168.211.129,0,0,0.0,0,1,0.2,0.0,0.0,0
121ac71cc638,192.168.211.129,0,0,0.0,0,1,0.2,0.0,0.0,0
e1fb2678fa05,192.168.211.129,0,0,0.0,1,0,57.4,0.0,0.0,0
f6e9f86c53f5,192.168.211.129,0,0,0.0,1,0,55.5,0.0,0.0,0
abdfe00c2cbe,192.168.211.129,0,0,0.0,1,0,53.5,0.0,0.0,0
58e8982d8724,192.168.211.129,0,0,0.0,1,0,50.6,0.0,0.0,0
3ed1646ec405,192.168.211.129,0,0,0.0,1,0,47.7,0.0,0.0,0
8e8c63b2bf17,192.168.211.129,0,0,0.0,1,0,45.2,0.0,0.0,0
45ad26a12f45,192.168.211.129,0,0,0.0,1,0,42.8,0.0,0.0,0
3741dea13e5f,192.168.211.129,0,0,0.0,0,1,0.1,0.0,0.0,0
a155ec66e98c,192.168.211.129,0,0,0.0,1,0,38.9,0.0,0.0,0
4c56f6a34511,192.168.211.129,0,0,0.0,1,0,36.1,0.0,0.0,0
4b4303d61e2f,192.168.211.129,0,0,0.0,1,0,33.8,0.0,0.0,0
16675a56fbcb,192.168.211.129,0,0,0.0,0,1,0.2,0.0,0.0,0
de8cc26fb512,192.168.211.129,0,0,0.0,1,0,30.7,0.0,0.0,0
2ea2494b4c4a,192.168.211.129,0,0,0.0,1,0,29.1,0.0,0.0,0
6994e6e341d2,192.168.211.129,0,0,0.0,1,0,27.0,0.0,0.0,0
08f9e6c46f8f,192.168.211.129,0,0,0.0,0,1,0.2,0.0,0.0,0
783a9c173d99,192.168.211.129,0,0,0.0,1,0,23.3,0.0,0.0,0
35d37a029f6e,192.168.211.129,0,0,0.0,0,1,0.1,0.0,0.0,0
ef3df3d93678,192.168.211.129,0,0,0.0,1,0,19.7,0.0,0.0,0
04d5a030c5b2,192.168.211.129,0,0,0.0,1,0,18.0,0.0,0.0,0
7fe9f3b8ea89,192.168.211.129,0,0,0.0,0,1,0.2,0.0,0.0,0
d45bd7bbd60c,192.168.211.129,0,0,0.0,1,0,13.7,0.0,0.0,0
5c44dcc3bb35,192.168.211.129,0,0,0.0,1,0,11.6,0.0,0.0,0
d849ea102af3,192.168.211.129,0,0,0.0,1,0,10.0,0.0,0.0,0
3b0a1ddac064,192.168.211.129,0,0,0.0,1,0,7.8,0.0,0.0,0
c1b289cafdd0,192.168.211.129,0,0,0.0,1,0,6.0,0.0,0.0,0
31c3b1ed5de7,192.168.211.129,0,0,0.0,0,1,0.1,0.0,0.0,0
33f3e1a237f3,192.168.211.129,0,0,0.0,1,0,2.1,0.0,0.0,0
754756ff1662,192.168.211.129,5,4,0.8,0,1,193.7,0.219,0.3776,0
a1adf6c68cb5,192.168.211.129,0,0,0.0,0,0,0.0,0.0,0.0,0
bfb8ac4cbbf4,192.168.211.129,0,0,0.0,0,0,0.0,0.0,0.0,0
b77d8cec9103,192.168.211.129,0,0,0.0,0,0,0.0,0.0,0.0,0
958b85fdd5e3,192.168.211.129,0,0,0.0,0,0,0.0,0.0,0.0,0
0e461734cb4a,192.168.211.129,0,0,0.0,0,0,0.0,0.0,0.0,0
b7339a25b81b,192.168.211.129,0,0,0.0,0,0,0.0,0.0,0.0,0
185108dfbdfc,192.168.211.129,0,0,0.0,0,0,0.0,0.0,0.0,0
8884af6222fc,192.168.211.129,0,0,0.0,0,0,0.0,0.0,0.0,0
cdc092eb3aa6,192.168.211.129,0,0,0.0,0,0,0.1,0.0,0.0,0
d850c6fab46d,192.168.211.129,0,0,0.0,0,0,0.1,0.0,0.0,0
15e4e7345e1a,192.168.211.129,0,0,0.0,0,0,0.1,0.0,0.0,0
a7dc44974545,192.168.211.129,0,0,0.0,0,0,0.1,0.0,0.0,0
88d131ad272f,192.168.211.129,0,0,0.0,0,0,0.0,0.0,0.0,0
cfd51d4dc1e0,192.168.211.129,0,0,0.0,0,0,0.0,0.0,0.0,0
373b77fbc2e1,192.168.211.129,0,0,0.0,0,0,0.0,0.0,0.0,0
1d739323b5cf,192.168.211.129,0,0,0.0,0,0,0.0,0.0,0.0,0
d7ead90f9450,192.168.211.129,0,0,0.0,0,0,0.0,0.0,0.0,0
7ade716f3ca8,192.168.211.129,0,0,0.0,0,0,0.0,0.0,0.0,0
02f8d0679259,192.168.211.129,0,0,0.0,0,0,0.0,0.0,0.0,0
38aa9dfb705e,192.168.211.129,0,0,0.0,0,0,0.0,0.0,0.0,0
